CustomerID,Lookalikes
C0001,"[{'CustomerID': 'C0035', 'Score': 0.9825386993580932}, {'CustomerID': 'C0146', 'Score': 0.9754967048050106}, {'CustomerID': 'C0069', 'Score': 0.9693672453263648}]"
C0002,"[{'CustomerID': 'C0144', 'Score': 0.9939564098077659}, {'CustomerID': 'C0133', 'Score': 0.9844073898257348}, {'CustomerID': 'C0134', 'Score': 0.9658992868346914}]"
C0003,"[{'CustomerID': 'C0166', 'Score': 0.9914397534890922}, {'CustomerID': 'C0031', 'Score': 0.9894520760035046}, {'CustomerID': 'C0195', 'Score': 0.9848473860339895}]"
C0004,"[{'CustomerID': 'C0113', 'Score': 0.9820383734792433}, {'CustomerID': 'C0017', 'Score': 0.9744559234613719}, {'CustomerID': 'C0041', 'Score': 0.9714462495916072}]"
C0005,"[{'CustomerID': 'C0007', 'Score': 0.9952945911795362}, {'CustomerID': 'C0197', 'Score': 0.9916550249576533}, {'CustomerID': 'C0127', 'Score': 0.9676512054158463}]"
C0006,"[{'CustomerID': 'C0135', 'Score': 0.9957132587560482}, {'CustomerID': 'C0139', 'Score': 0.9794636793036893}, {'CustomerID': 'C0147', 'Score': 0.9699687725066383}]"
C0007,"[{'CustomerID': 'C0005', 'Score': 0.9952945911795362}, {'CustomerID': 'C0197', 'Score': 0.9782138169532681}, {'CustomerID': 'C0127', 'Score': 0.9728556809372484}]"
C0008,"[{'CustomerID': 'C0039', 'Score': 0.990570582845339}, {'CustomerID': 'C0162', 'Score': 0.9905470457135706}, {'CustomerID': 'C0182', 'Score': 0.9820835812692685}]"
C0009,"[{'CustomerID': 'C0092', 'Score': 0.9621999780954751}, {'CustomerID': 'C0198', 'Score': 0.954685379516585}, {'CustomerID': 'C0040', 'Score': 0.9544265768282008}]"
C0010,"[{'CustomerID': 'C0176', 'Score': 0.9888676465563638}, {'CustomerID': 'C0077', 'Score': 0.9784883053859763}, {'CustomerID': 'C0034', 'Score': 0.963182013971681}]"
C0011,"[{'CustomerID': 'C0126', 'Score': 0.9947318751457414}, {'CustomerID': 'C0027', 'Score': 0.9811195313967755}, {'CustomerID': 'C0070', 'Score': 0.9626908182399442}]"
C0012,"[{'CustomerID': 'C0104', 'Score': 0.9878409157338488}, {'CustomerID': 'C0065', 'Score': 0.9829550682231898}, {'CustomerID': 'C0136', 'Score': 0.9827776925371795}]"
C0013,"[{'CustomerID': 'C0105', 'Score': 0.9836968336071225}, {'CustomerID': 'C0183', 'Score': 0.9811646016335747}, {'CustomerID': 'C0107', 'Score': 0.9788718268226354}]"
C0014,"[{'CustomerID': 'C0097', 'Score': 0.9983553260046851}, {'CustomerID': 'C0110', 'Score': 0.9859161203533293}, {'CustomerID': 'C0151', 'Score': 0.9736979733426918}]"
C0015,"[{'CustomerID': 'C0123', 'Score': 0.99293515536981}, {'CustomerID': 'C0131', 'Score': 0.9532341801768329}, {'CustomerID': 'C0137', 'Score': 0.948686514526229}]"
C0016,"[{'CustomerID': 'C0107', 'Score': 0.9902603470729106}, {'CustomerID': 'C0183', 'Score': 0.9887315547840789}, {'CustomerID': 'C0074', 'Score': 0.9778641766604171}]"
C0017,"[{'CustomerID': 'C0041', 'Score': 0.9840122346359701}, {'CustomerID': 'C0090', 'Score': 0.982516114109232}, {'CustomerID': 'C0075', 'Score': 0.9824158698088338}]"
C0018,"[{'CustomerID': 'C0021', 'Score': 0.974741868996288}, {'CustomerID': 'C0057', 'Score': 0.9682128936042432}, {'CustomerID': 'C0075', 'Score': 0.9625346200102264}]"
C0019,"[{'CustomerID': 'C0191', 'Score': 0.9898891970628025}, {'CustomerID': 'C0070', 'Score': 0.9876237281509586}, {'CustomerID': 'C0125', 'Score': 0.9528679253670738}]"
C0020,"[{'CustomerID': 'C0130', 'Score': 0.9992260846624885}, {'CustomerID': 'C0120', 'Score': 0.9791674443041698}, {'CustomerID': 'C0069', 'Score': 0.9268031953766164}]"
